Rank,Title,Breitzman,User2,User3,Thomas,User5,User6,Mason,User8
1,The Wizard of Oz (1939),1,1,1,2,2,2,1,1
2,The Third Man (1949),1,0,0,2,0,0,0,0
3,Citizen Kane (1941),1,2,0,1,2,1,0,0
4,All About Eve (1950),1,0,0,2,0,0,0,0
5,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920),0,0,0,0,2,0,0,0
6,A Hard Day's Night (1964),0,0,0,-1,0,0,1,0
7,Modern Times (1936),0,0,0,0,0,0,0,0
8,The Godfather (1972),2,2,2,2,2,2,1,1
9,E.T. The Extra-Terrestrial (1982),0,2,0,-2,0,2,2,0
10,Metropolis (1927),0,0,0,0,0,0,0,-2
11,Singin' in the Rain (1952),0,1,0,-1,0,-1,1,0
12,Laura (1944),0,0,0,0,0,0,0,0
13,It Happened One Night (1934),1,0,0,0,0,0,0,0
14,The Adventures of Robin Hood (1938),0,0,0,-1,0,0,0,0
15,Inside Out (2015),0,2,0,1,0,0,-1,0
16,Repulsion (1965),0,0,0,0,0,0,0,0
17,North by Northwest (1959),2,0,0,2,0,0,0,2
18,Boyhood (2014),0,-2,0,0,2,0,0,0
19,King Kong (1933),1,1,0,1,0,-1,0,0
20,The Maltese Falcon (1941),2,0,0,-1,0,0,0,0
21,The Philadelphia Story (1940),0,0,0,1,0,0,0,0
22,Rear Window (1954),1,1,0,1,0,2,0,0
23,Sunset Boulevard (1950),0,0,0,2,0,0,0,0
24,La Battaglia di Algeri (The Battle of Algiers) (1967),0,0,0,2,0,0,0,0
25,Snow White and the Seven Dwarfs (1937),1,2,0,2,1,2,1,0
26,Rashômon (Rashomon) (In the Woods) (1951),0,0,0,0,0,0,0,0
27,Toy Story 2 (1999),2,2,1,1,2,1,1,1
28,The Bride of Frankenstein (1935),0,0,0,0,0,1,0,0
29,Toy Story 3 (2010),0,2,1,0,2,2,1,0
30,Selma (2015),0,-1,0,0,0,0,0,0
31,The Bicycle Thief (1949),0,0,0,0,0,0,0,0
32,The Treasure of the Sierra Madre (1948),2,0,0,0,0,0,0,0
33,The 400 Blows (Les Quatre cents coups) (1959),0,0,0,0,0,0,0,0
34,Seven Samurai (Shichinin no Samurai) (1954),0,0,0,2,0,0,0,0
35,On the Waterfront (1954),2,0,0,2,0,0,0,0
36,Up (2009),0,2,1,2,0,1,-1,0
37,M (1931),0,0,0,0,0,0,0,0
38,Lawrence of Arabia (1962),1,2,0,-1,0,0,1,0
39,Vertigo (1958),1,0,0,-2,2,2,1,0
40,12 Angry Men (Twelve Angry Men) (1957),1,2,0,2,2,2,1,0
41,Rebecca (1940),1,0,0,0,0,0,0,0
42,The Night of the Hunter (1955),0,0,0,2,0,0,0,0
43,Apocalypse Now (1979),1,1,2,1,2,2,2,0
44,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),1,1,0,2,2,0,1,0
45,A Streetcar Named Desire (1951),1,-1,1,1,0,0,0,0
46,Finding Nemo (2003),0,1,2,1,2,1,1,1
47,The Conformist (1970),0,0,0,0,0,0,0,0
48,Rosemary's Baby (1968),0,0,0,0,0,-1,0,0
49,L.A. Confidential (1997),1,0,0,2,0,0,1,0
50,Frankenstein (1931),0,0,0,1,0,0,0,0
51,The Wrestler (2008),1,0,0,1,0,0,-1,0
52,The 39 Steps (1935),0,0,0,1,0,0,0,0
53,The Hurt Locker (2009),1,2,1,0,0,1,2,0
54,The Last Picture Show (1971),0,0,0,2,0,0,0,0
55,The Grapes of Wrath (1940),0,0,0,0,0,0,0,0
56,Tokyo Story (Tôkyô monogatari) (1953),0,0,0,0,0,0,0,0
57,Pinocchio (1940),0,0,0,1,2,1,1,0
58,The Wages of Fear (1953),0,0,0,2,0,0,0,0
59,Taxi Driver (1976),1,0,2,1,2,0,2,2
60,Toy Story (1995),2,2,1,2,2,2,2,2
61,Man on Wire (2008),0,2,0,1,0,0,-1,0
62,Anatomy of a Murder (1959),1,0,0,0,0,0,0,0
63,Roman Holiday (1953),0,0,0,0,0,0,0,0
64,Chinatown (1974),1,0,0,2,0,0,1,0
65,Annie Hall (1977),1,0,0,2,2,0,1,0
66,The Best Years of Our Lives (1946),0,0,0,0,0,0,0,0
67,The Leopard (1963),0,0,0,0,0,0,0,0
68,Battleship Potemkin (1925),0,0,0,0,0,0,0,0
69,Cool Hand Luke (1967),2,1,0,2,0,0,0,2
70,The Searchers (1956),0,0,0,0,0,0,0,0
71,The Rules of the Game (1950),0,0,0,0,0,0,0,0
72,The Gold Rush (1925),0,0,0,0,0,0,0,0
73,Sweet Smell of Success (1957),1,0,0,1,0,0,0,0
74,Before Midnight (2013),0,0,0,-1,0,0,0,0
75,Mary Poppins (1964),0,0,0,-2,0,1,1,0
76,Mr. Turner (2014),0,0,0,0,0,0,0,0
77,Short Term 12 (2013),0,0,0,0,0,0,0,0
78,The Babadook (2014),0,0,0,0,2,0,0,0
79,The Terminator (1984),1,2,2,-1,2,2,2,2
80,Let the Right One In (2008),0,0,0,0,0,0,0,0
81,Playtime (Play Time) (1967),0,0,0,0,0,0,0,0
82,The Wild Bunch (1969),0,0,0,1,0,0,0,0
83,The French Connection (1971),1,0,0,2,0,0,1,0
84,Mud (2013),0,0,0,0,0,-1,0,0
85,Invasion of the Body Snatchers (1956),0,0,0,0,0,0,0,0
86,Raging Bull (1980),2,0,0,2,2,0,2,2
87,Shaun the Sheep (2015),0,0,0,2,0,0,0,0
88,Badlands (1974),0,0,0,0,0,0,0,0
89,City Lights (1931),0,0,0,0,0,0,0,0
90,Aliens (1986),0,0,1,-1,0,2,1,1
91,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),0,0,0,-1,0,0,0,0
92,Mean Streets (1973),2,0,0,2,0,0,0,0
93,How to Train Your Dragon (2010),0,2,0,0,1,1,-1,0
94,Once Upon a Time in the West (1968),0,0,0,1,0,0,0,0
95,The Manchurian Candidate (1962),0,0,0,0,0,0,1,0
96,Eyes Without a Face (1962),0,0,0,0,0,0,0,0
97,The Conversation (1974),0,0,0,2,0,0,0,0
98,Gloria (2014),0,0,0,0,0,0,0,0
99,"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God) (1972)",0,0,0,0,0,0,0,0
100,Forbidden Planet (1956),1,0,0,0,0,0,0,0
